SignalId,Timestamp,EventCode,EventParam
7115,6/13/2023 6:33:17.3,81,25
7115,6/13/2023 6:33:20.3,81,27
7115,6/13/2023 6:33:22.9,81,27
7115,6/13/2023 6:33:24.3,81,27
7115,6/13/2023 6:33:26.6,81,28
7115,6/13/2023 6:33:38.3,81,25
7115,6/13/2023 6:33:39.9,81,27
7115,6/13/2023 6:34:06.2,81,26
7115,6/13/2023 6:34:11.5,81,28
7115,6/13/2023 6:34:14.8,81,28
7115,6/13/2023 6:34:49.6,81,28
7115,6/13/2023 6:35:48.9,81,26
7115,6/13/2023 6:35:49.2,81,25
7115,6/13/2023 6:35:50.6,81,27
7115,6/13/2023 6:35:51.1,81,28
7115,6/13/2023 6:35:51.7,81,25
7115,6/13/2023 6:35:52.6,81,27
7115,6/13/2023 6:35:56.1,81,27
7115,6/13/2023 6:35:58.1,81,27
7115,6/13/2023 6:36:02.1,81,26
7115,6/13/2023 6:36:08.8,81,28
7115,6/13/2023 6:36:31.5,81,28
7115,6/13/2023 6:38:14.8,81,26
7115,6/13/2023 6:38:17.6,81,27
7115,6/13/2023 6:38:20.0,81,27
7115,6/13/2023 6:38:30.6,81,28
7115,6/13/2023 6:38:44.2,81,28
7115,6/13/2023 6:38:48.3,81,28
7115,6/13/2023 6:39:17.8,81,28
7115,6/13/2023 6:39:32.4,81,28
7115,6/13/2023 6:40:09.2,81,28
7115,6/13/2023 6:40:26.3,81,28
7115,6/13/2023 6:40:46.1,81,26
7115,6/13/2023 6:40:47.0,81,25
7115,6/13/2023 6:40:47.1,81,27
7115,6/13/2023 6:41:01.6,81,25
7115,6/13/2023 6:42:30.0,81,27
7115,6/13/2023 6:43:20.8,81,26
7115,6/13/2023 6:43:21.2,81,25
7115,6/13/2023 6:43:22.8,81,27
7115,6/13/2023 6:43:24.4,81,26
7115,6/13/2023 6:43:26.7,81,27
7115,6/13/2023 6:43:29.1,81,28
7115,6/13/2023 6:43:37.8,81,28
7115,6/13/2023 6:43:43.2,81,25
7115,6/13/2023 6:43:49.9,81,25
7115,6/13/2023 6:43:51.4,81,25
7115,6/13/2023 6:44:10.0,81,26
7115,6/13/2023 6:44:19.7,81,28
7115,6/13/2023 6:44:43.0,81,28
7115,6/13/2023 6:45:06.2,81,27
7115,6/13/2023 6:45:18.7,81,28
7115,6/13/2023 6:45:32.6,81,28
7115,6/13/2023 6:45:46.3,81,25
7115,6/13/2023 6:45:46.6,81,26
7115,6/13/2023 6:45:49.0,81,27
7115,6/13/2023 6:45:49.2,81,25
7115,6/13/2023 6:45:52.8,81,27
7115,6/13/2023 6:46:16.8,81,26
7115,6/13/2023 6:46:59.3,81,28
7115,6/13/2023 6:47:29.5,81,28
7115,6/13/2023 6:48:01.7,81,28
7115,6/13/2023 6:48:17.8,81,26
7115,6/13/2023 6:48:20.4,81,25
7115,6/13/2023 6:48:21.4,81,27
7115,6/13/2023 6:48:22.3,81,26
7115,6/13/2023 6:48:22.8,81,25
7115,6/13/2023 6:48:49.5,81,28
7115,6/13/2023 6:49:00.6,81,25
7115,6/13/2023 6:49:04.2,81,25
7115,6/13/2023 6:49:15.7,81,28
7115,6/13/2023 6:49:19.7,81,28
7115,6/13/2023 6:49:25.0,81,28
7115,6/13/2023 6:49:45.1,81,28
7115,6/13/2023 6:50:02.7,81,28
7115,6/13/2023 6:50:13.1,81,28
7115,6/13/2023 6:50:21.7,81,28
7115,6/13/2023 6:50:26.7,81,26
7115,6/13/2023 6:50:48.1,81,28
7115,6/13/2023 6:50:48.9,81,27
7115,6/13/2023 6:50:49.8,81,25
7115,6/13/2023 6:50:50.4,81,28
7115,6/13/2023 6:50:51.8,81,26
7115,6/13/2023 6:50:52.4,81,25
7115,6/13/2023 6:50:57.0,81,25
7115,6/13/2023 6:50:58.6,81,25
7115,6/13/2023 6:51:15.9,81,28
7115,6/13/2023 6:52:22.0,81,28
7115,6/13/2023 6:52:25.3,81,26
7115,6/13/2023 6:52:33.9,81,28
7115,6/13/2023 6:52:47.0,81,28
7115,6/13/2023 6:52:53.5,81,27
7115,6/13/2023 6:53:17.8,81,25
7115,6/13/2023 6:53:18.9,81,28
7115,6/13/2023 6:53:19.4,81,27
7115,6/13/2023 6:53:20.6,81,28
7115,6/13/2023 6:53:20.7,81,26
7115,6/13/2023 6:53:41.1,81,28
7115,6/13/2023 6:53:42.1,81,27
7115,6/13/2023 6:55:48.9,81,27
7115,6/13/2023 6:55:49.5,81,26
7115,6/13/2023 6:55:51.0,81,25
7115,6/13/2023 6:55:51.7,81,27
7115,6/13/2023 6:55:56.2,81,27
7115,6/13/2023 6:55:58.5,81,27
7115,6/13/2023 6:56:09.3,81,25
7115,6/13/2023 6:56:17.9,81,25
7115,6/13/2023 6:56:21.1,81,28
7115,6/13/2023 6:56:27.9,81,25
7115,6/13/2023 6:56:31.8,81,25
7115,6/13/2023 6:56:32.9,81,27
7115,6/13/2023 6:58:19.8,81,25
7115,6/13/2023 6:58:20.9,81,27
7115,6/13/2023 6:58:22.8,81,26
7115,6/13/2023 6:58:40.2,81,25
7115,6/13/2023 6:58:56.1,81,28
7115,6/13/2023 6:59:30.6,81,28
7115,6/13/2023 6:59:53.3,81,27
7115,6/13/2023 7:00:38.6,81,28
7115,6/13/2023 7:00:43.8,81,25
7115,6/13/2023 7:00:43.9,81,26
7115,6/13/2023 7:00:55.0,81,27
7115,6/13/2023 7:00:59.1,81,26
7115,6/13/2023 7:00:59.2,81,27
7115,6/13/2023 7:01:05.7,81,25
7115,6/13/2023 7:01:08.2,81,27
7115,6/13/2023 7:01:10.1,81,27
7115,6/13/2023 7:01:29.2,81,28
7115,6/13/2023 7:02:54.2,81,27
7115,6/13/2023 7:02:55.7,81,25
7115,6/13/2023 7:02:58.3,81,25
7115,6/13/2023 7:02:58.7,81,26
7115,6/13/2023 7:03:03.1,81,26
7115,6/13/2023 7:03:05.4,81,27
7115,6/13/2023 7:03:19.6,81,26
7115,6/13/2023 7:03:54.5,81,28
7115,6/13/2023 7:05:35.2,81,27
7115,6/13/2023 7:05:37.9,81,28
7115,6/13/2023 7:05:48.3,81,28
7115,6/13/2023 7:05:48.4,81,26
7115,6/13/2023 7:05:48.6,81,25
7115,6/13/2023 7:05:50.9,81,27
7115,6/13/2023 7:05:52.2,81,25
7115,6/13/2023 7:05:52.8,81,27
7115,6/13/2023 7:05:54.8,81,27
7115,6/13/2023 7:05:58.3,81,26
7115,6/13/2023 7:06:04.3,81,28
7115,6/13/2023 7:06:10.0,81,28
7115,6/13/2023 7:06:17.1,81,28
7115,6/13/2023 7:07:45.3,81,27
7115,6/13/2023 7:08:19.8,81,25
7115,6/13/2023 7:08:23.0,81,26
7115,6/13/2023 7:08:25.5,81,27
7115,6/13/2023 7:08:27.5,81,27
7115,6/13/2023 7:08:43.8,81,28
7115,6/13/2023 7:09:01.6,81,28
7115,6/13/2023 7:10:03.3,81,27
7115,6/13/2023 7:10:10.0,81,28
7115,6/13/2023 7:10:41.0,81,25
7115,6/13/2023 7:10:42.2,81,26
7115,6/13/2023 7:10:43.0,81,25
7115,6/13/2023 7:10:46.8,81,26
7115,6/13/2023 7:10:55.7,81,28
7115,6/13/2023 7:11:18.1,81,28
7115,6/13/2023 7:12:06.8,81,27
7115,6/13/2023 7:13:18.3,81,26
7115,6/13/2023 7:13:21.0,81,25
7115,6/13/2023 7:13:21.0,81,28
7115,6/13/2023 7:13:24.5,81,27
7115,6/13/2023 7:13:25.4,81,26
7115,6/13/2023 7:13:30.7,81,27
7115,6/13/2023 7:13:51.2,81,28
7115,6/13/2023 7:13:55.1,81,28
7115,6/13/2023 7:13:59.8,81,28
7115,6/13/2023 7:14:03.7,81,25
7115,6/13/2023 7:14:18.7,81,25
7115,6/13/2023 7:14:18.7,81,26
7115,6/13/2023 7:14:43.1,81,28
7115,6/13/2023 7:15:46.2,81,27
7115,6/13/2023 7:15:46.9,81,25
7115,6/13/2023 7:15:47.7,81,26
7115,6/13/2023 7:15:48.9,81,27
7115,6/13/2023 7:15:50.8,81,27
7115,6/13/2023 7:15:52.4,81,26
7115,6/13/2023 7:15:52.8,81,27
7115,6/13/2023 7:16:05.6,81,25
