64663,6
64664,4
64665,5
64666,6
64667,6
64668,6
64669,4
64670,4
64671,4
64672,5
64673,5
64674,6
64675,4
64676,5
64677,6
64678,4
64679,6
64680,4
64681,5
64682,6
64683,4
64684,2
64685,2
64686,6
64687,4
64688,5
64689,6
64690,6
64691,4
64692,4
64693,5
64694,2
64695,2
64696,6
64697,6
64698,6
64699,4
64700,4
64701,5
64702,2
64703,4
64704,4
64705,6
64706,6
64707,4
64708,4
64709,4
64710,5
64711,2
64713,6
64714,4
64715,5
64716,6
64717,6
64718,4
64719,4
64721,5
64722,2
64723,6
64724,4
64725,6
64726,6
64727,4
64728,4
64729,4
64730,5
64731,5
64732,2
64733,6
64734,4
64735,6
64736,4
64737,4
64738,4
64739,4
64740,6
64741,6
64742,5
64743,5
64744,2
64745,6
64746,4
64747,4
64748,6
64749,4
64750,5
64751,5
64752,5
64753,2
64754,6
64755,6
64756,4
64757,4
64758,4
64759,6
64760,4
64761,6
64762,4
64763,5
64764,5
64765,2
64766,6
64767,6
64768,4
64769,4
64770,6
64771,4
64772,4
64781,2
64783,6
64784,4
64785,5
64786,6
64787,6
64788,4
64789,4
64790,5
64791,2
64792,6
64793,4
64794,4
64805,2
64809,6
64810,4
64811,4
64812,5
64813,2
64814,6
64815,4
64816,5
64817,6
64818,4
64819,5
64820,6
64821,6
64822,4
64823,4
64824,4
64825,5
64826,2
