SignalId,timestamp,eventCode,eventParam
7707,12/25/2025 0:01,105,6
7707,12/25/2025 0:01,102,6
7707,12/25/2025 0:01,116,6
7707,12/25/2025 0:01,107,6
7707,12/25/2025 0:01,104,6
7707,12/25/2025 1:59,116,3
7707,12/25/2025 1:59,105,3
7707,12/25/2025 1:59,102,3
7707,12/25/2025 2:00,116,3
7707,12/25/2025 2:00,107,3
7707,12/25/2025 2:00,104,3
7707,12/25/2025 6:17,112,3
7707,12/25/2025 6:17,118,3
7707,12/25/2025 6:17,113,3
7707,12/25/2025 6:17,114,3
7707,12/25/2025 6:17,119,3
7707,12/25/2025 6:17,115,3
7707,12/25/2025 6:20,112,6
7707,12/25/2025 6:20,118,6
7707,12/25/2025 6:20,113,6
7707,12/25/2025 6:20,119,6
7707,12/25/2025 6:20,115,6
7707,12/25/2025 6:43,112,4
7707,12/25/2025 6:43,118,4
7707,12/25/2025 6:43,114,4
7707,12/25/2025 6:44,119,4
7707,12/25/2025 6:44,115,4
7707,12/25/2025 6:46,112,6
7707,12/25/2025 6:46,118,6
7707,12/25/2025 6:46,113,6
7707,12/25/2025 6:46,114,6
7707,12/25/2025 6:46,119,6
7707,12/25/2025 6:47,115,6
7707,12/25/2025 7:16,112,3
7707,12/25/2025 7:16,118,3
7707,12/25/2025 7:16,113,3
7707,12/25/2025 7:16,114,3
7707,12/25/2025 7:16,119,3
7707,12/25/2025 7:16,115,3
7707,12/25/2025 7:19,112,6
7707,12/25/2025 7:19,118,6
7707,12/25/2025 7:19,113,6
7707,12/25/2025 7:20,114,6
7707,12/25/2025 7:20,119,6
7707,12/25/2025 7:20,115,6
7707,12/25/2025 7:44,112,4
7707,12/25/2025 7:44,118,4
7707,12/25/2025 7:44,114,4
7707,12/25/2025 7:44,113,4
7707,12/25/2025 7:44,114,4
7707,12/25/2025 7:44,113,4
7707,12/25/2025 7:44,119,4
7707,12/25/2025 7:44,115,4
7707,12/25/2025 7:46,112,6
7707,12/25/2025 7:46,118,6
7707,12/25/2025 7:46,113,6
7707,12/25/2025 7:46,114,6
7707,12/25/2025 7:47,119,6
