Location Id,Timestamp,Event Code,Event Parameter
7115,4/17/2023 8:03:6.2,82,2
7115,4/17/2023 8:03:7.3,82,2
7115,4/17/2023 8:03:7.9,82,2
7115,4/17/2023 8:03:8.2,82,2
7115,4/17/2023 8:03:9.0,82,2
7115,4/17/2023 8:03:9.7,82,2
7115,4/17/2023 8:03:11.0,82,2
7115,4/17/2023 8:03:11.8,82,2
7115,4/17/2023 8:03:12.3,82,2
7115,4/17/2023 8:03:12.6,82,2
7115,4/17/2023 8:03:12.9,82,2
7115,4/17/2023 8:03:13.1,82,2
7115,4/17/2023 8:03:13.8,82,2
7115,4/17/2023 8:03:16.0,82,2
7115,4/17/2023 8:03:16.2,82,2
7115,4/17/2023 8:03:18.4,82,2
7115,4/17/2023 8:03:21.8,82,2
7115,4/17/2023 8:03:23.1,82,2
7115,4/17/2023 8:03:24.8,82,2
7115,4/17/2023 8:03:25.3,82,2
7115,4/17/2023 8:03:29.7,82,2
7115,4/17/2023 8:03:30.0,82,2
7115,4/17/2023 8:03:30.8,82,2
7115,4/17/2023 8:03:34.2,82,2
7115,4/17/2023 8:03:35.3,82,2
7115,4/17/2023 8:03:35.7,82,2
7115,4/17/2023 8:03:37.6,82,2
7115,4/17/2023 8:03:39.6,82,2
7115,4/17/2023 8:03:39.9,82,2
7115,4/17/2023 8:03:40.4,82,2
7115,4/17/2023 8:03:40.7,82,2
7115,4/17/2023 8:03:40.9,82,2
7115,4/17/2023 8:03:41.5,82,2
7115,4/17/2023 8:03:41.8,82,2
7115,4/17/2023 8:03:42.4,82,2
7115,4/17/2023 8:03:44.8,82,2
7115,4/17/2023 8:03:47.4,82,2
7115,4/17/2023 8:03:48.2,82,2
7115,4/17/2023 8:03:49.1,82,2
7115,4/17/2023 8:03:51.1,82,2
7115,4/17/2023 8:03:52.5,82,2
7115,4/17/2023 8:03:54.5,82,2
7115,4/17/2023 8:03:55.7,82,2
7115,4/17/2023 8:03:56.9,82,2
7115,4/17/2023 8:03:58.7,82,2
7115,4/17/2023 8:04:0.0,82,2
7115,4/17/2023 8:04:1.0,82,2
7115,4/17/2023 8:04:3.0,82,2
7115,4/17/2023 8:04:7.5,82,2
7115,4/17/2023 8:04:8.4,82,2
7115,4/17/2023 8:04:10.1,82,2
7115,4/17/2023 8:04:12.7,82,2
7115,4/17/2023 8:04:13.8,82,2
7115,4/17/2023 8:04:14.1,82,2
7115,4/17/2023 8:04:16.8,82,2
7115,4/17/2023 8:04:19.7,82,2
7115,4/17/2023 8:04:20.9,82,2
7115,4/17/2023 8:04:21.1,82,2
7115,4/17/2023 8:04:23.2,82,2
7115,4/17/2023 8:04:24.9,82,2
7115,4/17/2023 8:04:26.3,82,2
7115,4/17/2023 8:04:27.6,82,2
7115,4/17/2023 8:04:34.1,82,2
7115,4/17/2023 8:04:34.9,82,2
7115,4/17/2023 8:04:40.2,82,2
7115,4/17/2023 8:04:42.8,82,2
7115,4/17/2023 8:04:45.3,82,2
7115,4/17/2023 8:04:51.2,82,2
7115,4/17/2023 8:04:51.7,82,2
7115,4/17/2023 8:04:52.2,82,2
7115,4/17/2023 8:04:53.4,82,2
7115,4/17/2023 8:04:53.6,82,2
7115,4/17/2023 8:04:55.7,82,2
7115,4/17/2023 8:04:57.1,82,2
7115,4/17/2023 8:04:59.5,82,2
7115,4/17/2023 8:05:3.0,82,2
7115,4/17/2023 8:05:3.5,82,2
7115,4/17/2023 8:05:4.9,82,2
7115,4/17/2023 8:05:6.2,82,2
7115,4/17/2023 8:05:6.6,82,2
7115,4/17/2023 8:05:11.6,82,2
7115,4/17/2023 8:05:11.8,82,2
7115,4/17/2023 8:05:12.6,82,2
7115,4/17/2023 8:05:13.9,82,2
7115,4/17/2023 8:05:14.6,82,2
7115,4/17/2023 8:05:16.8,82,2
7115,4/17/2023 8:05:17.3,82,2
7115,4/17/2023 8:05:19.7,82,2
7115,4/17/2023 8:05:20.7,82,2
7115,4/17/2023 8:05:20.9,82,2
7115,4/17/2023 8:05:21.3,82,2
7115,4/17/2023 8:05:22.1,82,2
7115,4/17/2023 8:05:26.1,82,2
7115,4/17/2023 8:05:27.2,82,2
7115,4/17/2023 8:05:28.6,82,2
7115,4/17/2023 8:05:29.9,82,2
7115,4/17/2023 8:05:30.5,82,2
7115,4/17/2023 8:05:31.9,82,2
7115,4/17/2023 8:05:33.7,82,2
7115,4/17/2023 8:05:36.9,82,2
