SignalIdentifier,Timestamp,EventCode,EventParam
5306,5/16/2023 9:08:26.5,1,2
5306,5/16/2023 9:08:26.5,1,6
5306,5/16/2023 9:08:26.5,21,2
5306,5/16/2023 9:08:26.5,21,6
5306,5/16/2023 9:09:27.0,22,2
5306,5/16/2023 9:09:30.0,22,6
5306,5/16/2023 9:09:47.0,8,2
5306,5/16/2023 9:09:47.0,8,6
5306,5/16/2023 9:09:50.7,45,2
5306,5/16/2023 9:09:50.7,90,2
5306,5/16/2023 9:09:51.1,9,2
5306,5/16/2023 9:09:51.1,9,6
5306,5/16/2023 9:09:53.0,1,4
5306,5/16/2023 9:09:53.0,1,7
5306,5/16/2023 9:10:2.7,8,7
5306,5/16/2023 9:10:5.7,9,7
5306,5/16/2023 9:10:8.0,1,8
5306,5/16/2023 9:10:10.6,8,4
5306,5/16/2023 9:10:10.6,45,6
5306,5/16/2023 9:10:10.6,90,6
5306,5/16/2023 9:10:15.4,9,4
5306,5/16/2023 9:10:18.0,1,3
5306,5/16/2023 9:10:31.9,8,3
5306,5/16/2023 9:10:31.9,8,8
5306,5/16/2023 9:10:35.7,9,3
5306,5/16/2023 9:10:36.6,9,8
5306,5/16/2023 9:10:38.2,1,2
5306,5/16/2023 9:10:38.2,1,5
5306,5/16/2023 9:10:38.2,21,2
5306,5/16/2023 9:10:46.5,45,2
5306,5/16/2023 9:10:46.5,90,2
5306,5/16/2023 9:10:47.5,8,5
5306,5/16/2023 9:10:50.7,9,5
5306,5/16/2023 9:10:52.6,1,6
5306,5/16/2023 9:10:52.6,21,6
5306,5/16/2023 9:10:57.8,45,8
5306,5/16/2023 9:10:57.8,90,8
5306,5/16/2023 9:10:58.5,90,8
5306,5/16/2023 9:11:38.8,45,2
5306,5/16/2023 9:11:38.8,90,2
5306,5/16/2023 9:11:47.0,8,2
5306,5/16/2023 9:11:47.0,8,6
5306,5/16/2023 9:11:51.1,9,2
5306,5/16/2023 9:11:51.1,9,6
5306,5/16/2023 9:11:53.0,1,4
5306,5/16/2023 9:11:53.0,1,7
5306,5/16/2023 9:12:0.6,22,6
5306,5/16/2023 9:12:1.1,8,7
5306,5/16/2023 9:12:4.1,9,7
5306,5/16/2023 9:12:4.9,8,4
5306,5/16/2023 9:12:6.4,1,8
5306,5/16/2023 9:12:6.4,21,8
5306,5/16/2023 9:12:9.7,9,4
5306,5/16/2023 9:12:12.3,1,3
5306,5/16/2023 9:12:13.4,22,8
5306,5/16/2023 9:12:35.4,8,3
5306,5/16/2023 9:12:35.4,8,8
5306,5/16/2023 9:12:35.4,90,2
