LocationIdentifier,Timestamp,EventCode,EventParam
5000,40:58.3,8,2
5000,42:58.3,8,2
5000,43:26.1,1,2
5000,44:58.3,8,2
5000,45:27.7,1,2
5000,46:58.3,8,2
5000,47:30.1,1,2
5000,48:58.3,8,2
5000,49:47.8,1,2
5000,50:58.3,8,2
5000,52:58.3,8,2
5000,53:30.3,1,2
5000,54:58.3,8,2
5000,56:00.3,1,2
5000,57:30.7,8,2
5000,57:53.0,1,2
5000,58:58.3,8,2
5000,59:34.1,1,2
5000,01:53.0,1,2
5000,02:58.3,8,2
5000,03:24.4,1,2
5000,04:58.3,8,2
5000,05:24.4,1,2
5000,06:58.3,8,2
5000,07:28.0,1,2
5000,08:58.3,8,2
5000,09:26.5,1,2
5000,10:58.3,8,2
5000,11:24.5,1,2
5000,12:58.3,8,2
5000,13:23.6,1,2
5000,14:58.3,8,2
5000,15:39.7,1,2
5000,16:58.3,8,2
5000,17:23.4,1,2
5000,18:58.3,8,2
5000,19:24.2,1,2
5000,20:58.3,8,2
5000,22:58.3,8,2
5000,23:30.6,1,2
5000,24:58.3,8,2
5000,25:27.2,1,2
5000,26:58.3,8,2
5000,27:26.2,1,2
5000,28:58.3,8,2
5000,29:40.8,1,2
5000,30:58.3,8,2
5000,32:58.3,8,2
5000,33:41.5,1,2
5000,34:58.3,8,2
5000,35:27.8,1,2
5000,36:58.3,8,2
5000,37:30.8,1,2
5000,38:58.3,8,2
5000,39:51.0,1,2
5000,40:58.3,8,2
5000,41:49.7,1,2
5000,42:58.3,8,2
5000,43:36.3,1,2
5000,44:58.3,8,2
5000,46:01.0,1,2
5000,46:58.3,8,2
5000,47:30.1,1,2
5000,48:58.3,8,2
5000,49:32.8,1,2
5000,50:58.3,8,2
5000,52:58.3,8,2
5000,53:33.4,1,2
5000,54:58.3,8,2
5000,55:30.1,1,2
5000,56:58.3,8,2
5000,57:48.7,1,2
5000,58:58.3,8,2
5000,59:33.2,1,2
5000,00:58.3,8,2
5000,02:08.7,1,2
5000,03:04.5,8,2
5000,03:33.4,1,2
5000,04:58.3,8,2
5000,05:47.8,1,2
5000,06:58.3,8,2
5000,07:24.4,1,2
5000,08:58.3,8,2
5000,09:42.2,1,2
5000,10:58.3,8,2
5000,12:58.3,8,2
5000,13:34.4,1,2
5000,14:58.3,8,2
5000,16:28.6,1,2
5000,17:10.9,8,2
5000,17:48.4,1,2
5000,18:58.3,8,2
5000,19:23.9,1,2
5000,20:58.3,8,2
5000,22:58.3,8,2
5000,23:35.8,1,2
5000,24:58.3,8,2
5000,25:22.7,1,2
5000,26:58.3,8,2
5000,27:29.8,1,2
5000,28:58.3,8,2
5000,29:28.8,1,2
5000,30:58.3,8,2
5000,32:58.3,8,2
5000,33:25.0,1,2
5000,34:58.3,8,2
5000,36:07.8,1,2
5000,37:03.6,8,2
5000,37:47.0,1,2
5000,38:58.3,8,2
5000,39:42.0,1,2
5000,40:58.3,8,2
5000,41:27.5,1,2
5000,42:58.3,8,2
5000,43:45.6,1,2
5000,44:58.3,8,2
5000,45:47.6,1,2
5000,46:58.3,8,2
5000,47:34.8,1,2
5000,48:58.3,8,2
5000,49:43.5,1,2
5000,50:58.3,8,2
5000,52:58.3,8,2
5000,53:35.2,1,2
5000,54:58.3,8,2
5000,55:49.6,1,2
5000,56:58.3,8,2
5000,57:25.0,1,2
5000,58:58.3,8,2
5000,59:29.4,1,2
5000,00:58.3,8,2
5000,02:58.3,8,2
5000,03:42.7,1,2
5000,04:58.3,8,2
5000,05:44.4,1,2
5000,06:58.3,8,2
5000,07:30.4,1,2
5000,08:58.3,8,2
5000,09:39.3,1,2
5000,10:58.3,8,2
5000,11:38.2,1,2
5000,13:07.2,8,2
5000,13:35.4,1,2
5000,14:58.3,8,2
5000,15:28.4,1,2
5000,16:58.3,8,2
5000,17:25.4,1,2
5000,18:58.3,8,2
5000,19:48.9,1,2
5000,20:58.3,8,2
5000,22:58.3,8,2
5000,23:41.0,1,2
5000,24:58.3,8,2
5000,25:37.1,1,2
5000,26:58.3,8,2
5000,27:35.1,1,2
5000,28:58.3,8,2
5000,29:33.0,1,2
5000,30:58.3,8,2
5000,31:52.9,1,2
5000,32:58.3,8,2
5000,33:42.0,1,2
5000,34:58.3,8,2
5000,35:35.1,1,2
5000,36:58.3,8,2
5000,37:49.7,1,2
5000,38:58.3,8,2
5000,39:27.7,1,2
5000,40:58.3,8,2
5000,42:58.3,8,2
5000,43:53.0,1,2
5000,44:58.3,8,2
5000,45:44.7,1,2
5000,46:58.3,8,2
5000,47:52.3,1,2
5000,48:58.3,8,2
5000,49:24.0,1,2
5000,50:58.3,8,2
5000,51:22.6,1,2
5000,52:58.3,8,2
5000,53:37.2,1,2
5000,54:58.3,8,2
5000,55:42.3,1,2
5000,56:58.3,8,2
5000,58:07.9,1,2
5000,59:03.7,8,2
5000,00:14.9,1,2
5000,03:12.3,8,2
5000,04:00.8,1,2
5000,05:24.3,8,2
5000,06:26.3,1,2
5000,07:36.3,8,2
5000,08:42.1,1,2
5000,09:48.3,8,2
5000,10:17.8,1,2
5000,12:00.3,8,2
5000,13:15.3,1,2
5000,14:12.3,8,2
5000,14:52.5,1,2
5000,16:24.3,8,2
5000,17:52.9,1,2
5000,18:36.3,8,2
5000,19:10.5,1,2
5000,20:48.3,8,2
5000,21:38.2,1,2
5000,23:00.3,8,2
5000,23:56.2,1,2
5000,25:12.3,8,2
5000,25:55.6,1,2
5000,27:24.3,8,2
5000,27:52.1,1,2
5000,29:36.3,8,2
5000,30:20.1,1,2
5000,32:21.2,1,2
5000,34:00.3,8,2
5000,34:46.8,1,2
5000,36:12.3,8,2
5000,36:55.6,1,2
5000,38:24.3,8,2
5000,39:27.6,1,2
5000,40:36.3,8,2
5000,41:41.3,1,2
5000,42:48.3,8,2
5000,43:28.0,1,2
5000,45:00.3,8,2
5000,45:29.6,1,2
5000,47:12.3,8,2
5000,47:59.5,1,2
5000,49:24.3,8,2
5000,50:12.4,1,2
5000,52:24.4,1,2
5000,53:48.3,8,2
5000,54:28.3,1,2
5000,56:00.3,8,2
5000,56:50.4,1,2
5000,58:12.3,8,2
5000,59:20.2,1,2
5000,00:24.3,8,2
5000,02:36.3,8,2
5000,03:25.4,1,2
5000,04:48.3,8,2
5000,05:51.8,1,2
5000,07:00.3,8,2
5000,07:51.9,1,2
5000,09:12.3,8,2
5000,09:47.4,1,2
5000,11:24.3,8,2
5000,12:08.5,1,2
5000,13:36.3,8,2
5000,14:21.9,1,2
5000,15:48.3,8,2
5000,16:36.5,1,2
5000,18:00.3,8,2
5000,18:55.9,1,2
5000,20:12.3,8,2
5000,20:57.4,1,2
5000,22:24.3,8,2
5000,23:40.9,1,2
5000,24:36.3,8,2
5000,25:18.1,1,2
5000,26:48.3,8,2
5000,27:38.4,1,2
5000,29:00.3,8,2
5000,29:41.6,1,2
5000,31:53.9,1,2
5000,33:24.3,8,2
5000,34:07.5,1,2
5000,35:36.3,8,2
5000,36:19.7,1,2
5000,37:48.3,8,2
5000,38:39.3,1,2
5000,40:00.3,8,2
5000,40:46.2,1,2
5000,42:12.3,8,2
5000,43:21.2,1,2
5000,44:24.3,8,2
5000,45:31.0,1,2
5000,46:36.3,8,2
5000,47:08.3,1,2
5000,48:48.3,8,2
5000,49:31.9,1,2
5000,51:00.3,8,2
5000,51:47.9,1,2
5000,53:12.3,8,2
5000,53:50.1,1,2
5000,55:24.3,8,2
5000,56:11.8,1,2
5000,57:36.3,8,2
5000,58:27.2,1,2
5000,59:48.3,8,2
5000,00:15.8,1,2
5000,02:00.3,8,2
5000,02:35.4,1,2
5000,04:12.3,8,2
5000,04:57.0,1,2
5000,06:24.3,8,2
5000,07:22.9,1,2
5000,08:36.3,8,2
5000,09:24.2,1,2
5000,10:48.3,8,2
5000,13:00.3,8,2
5000,13:50.2,1,2
5000,15:12.3,8,2
5000,15:48.9,1,2
5000,17:24.3,8,2
5000,18:27.0,1,2
5000,19:36.3,8,2
5000,20:25.8,1,2
5000,21:48.3,8,2
5000,22:40.4,1,2
5000,24:00.3,8,2
5000,24:35.4,1,2
5000,26:12.3,8,2
5000,27:06.9,1,2
5000,28:24.3,8,2
5000,29:12.3,1,2
5000,30:36.3,8,2
5000,32:48.3,8,2
5000,33:51.9,1,2
5000,35:00.3,8,2
5000,35:45.3,1,2
5000,37:12.3,8,2
5000,37:55.7,1,2
5000,39:24.3,8,2
5000,40:10.5,1,2
5000,42:20.6,1,2
5000,43:48.3,8,2
5000,44:44.7,1,2
5000,46:00.3,8,2
5000,46:50.7,1,2
5000,48:12.3,8,2
5000,49:21.9,1,2
5000,50:24.3,8,2
5000,52:36.3,8,2
5000,53:20.3,1,2
5000,54:48.3,8,2
5000,55:33.5,1,2
5000,57:00.3,8,2
5000,58:16.9,1,2
5000,59:12.3,8,2
5000,00:20.0,1,2
5000,01:24.3,8,2
5000,02:08.0,1,2
5000,03:36.3,8,2
5000,04:16.3,1,2
5000,05:48.3,8,2
5000,06:55.7,1,2
5000,08:00.3,8,2
5000,08:50.8,1,2
5000,10:12.3,8,2
5000,12:24.3,8,2
5000,13:32.3,1,2
5000,14:36.3,8,2
5000,15:04.5,1,2
5000,16:48.3,8,2
5000,17:41.0,1,2
5000,19:00.3,8,2
5000,19:31.6,1,2
5000,21:54.1,1,2
5000,23:24.3,8,2
5000,24:09.5,1,2
5000,25:36.3,8,2
5000,26:11.0,1,2
5000,27:48.3,8,2
5000,28:16.3,1,2
5000,30:00.3,8,2
5000,30:56.7,1,2
5000,32:12.3,8,2
5000,33:00.6,1,2
5000,34:24.3,8,2
5000,35:09.8,1,2
5000,36:36.3,8,2
5000,37:23.9,1,2
5000,38:48.3,8,2
5000,39:35.0,1,2
5000,41:00.3,8,2
5000,42:08.0,1,2
5000,43:12.3,8,2
5000,44:11.5,1,2
5000,45:24.3,8,2
5000,46:40.9,1,2
5000,47:36.3,8,2
5000,48:11.0,1,2
5000,49:48.3,8,2
5000,50:43.4,1,2
5000,52:00.3,8,2
5000,52:41.5,1,2
5000,54:12.3,8,2
5000,55:03.2,1,2
5000,56:24.3,8,2
5000,57:08.6,1,2
5000,58:36.3,8,2
5000,59:24.8,1,2
5000,00:25.3,8,2
5000,02:55.3,8,2
5000,03:45.1,1,2
5000,05:25.3,8,2
5000,06:42.5,1,2
5000,07:55.3,8,2
5000,08:57.7,1,2
5000,10:25.3,8,2
5000,11:31.8,1,2
5000,12:55.9,8,2
5000,14:31.9,1,2
5000,15:43.3,8,2
5000,16:59.9,1,2
5000,17:55.3,8,2
5000,18:48.3,1,2
5000,20:25.3,8,2
5000,23:13.3,8,2
5000,23:59.7,1,2
5000,25:25.3,8,2
5000,26:58.6,1,2
5000,28:13.3,8,2
