LocationIdentifier,Timestamp,EventCode,EventParam
7191,12/1/2020 0:44:45.8,1,2
7191,12/1/2020 0:45:04.8,8,2
7191,12/1/2020 0:45:09.6,9,2
7191,12/1/2020 0:45:11.1,11,2
7191,12/1/2020 0:45:52.7,1,2
7191,12/1/2020 0:46:11.7,8,2
7191,12/1/2020 0:46:16.5,9,2
7191,12/1/2020 0:46:18.0,11,2
7191,12/1/2020 0:46:59.6,1,2
7191,12/1/2020 0:47:18.6,8,2
7191,12/1/2020 0:47:23.4,9,2
7191,12/1/2020 0:47:24.9,11,2
7191,12/1/2020 0:48:06.5,1,2
7191,12/1/2020 0:48:25.5,8,2
7191,12/1/2020 0:48:30.3,9,2
7191,12/1/2020 0:48:31.8,11,2
7191,12/1/2020 0:49:13.4,1,2
7191,12/1/2020 0:49:32.4,8,2
7191,12/1/2020 0:49:37.2,9,2
7191,12/1/2020 0:49:38.7,11,2
7191,12/1/2020 0:50:32.9,1,2
7191,12/1/2020 0:50:51.9,8,2
7191,12/1/2020 0:50:56.7,9,2
7191,12/1/2020 0:50:58.2,11,2
7191,12/1/2020 0:51:39.8,1,2
7191,12/1/2020 0:51:58.8,8,2
7191,12/1/2020 0:52:03.6,9,2
7191,12/1/2020 0:52:05.1,11,2
7191,12/1/2020 0:52:46.7,1,2
7191,12/1/2020 0:53:05.7,8,2
7191,12/1/2020 0:53:10.5,9,2
7191,12/1/2020 0:53:12.0,11,2
7191,12/1/2020 0:53:53.6,1,2
7191,12/1/2020 0:54:12.6,8,2
7191,12/1/2020 0:54:17.4,9,2
7191,12/1/2020 0:54:18.9,11,2
7191,12/1/2020 0:55:00.5,1,2
7191,12/1/2020 0:55:19.9,8,2
7191,12/1/2020 0:55:24.7,9,2
7191,12/1/2020 0:55:26.2,11,2
7191,12/1/2020 0:56:19.3,1,2
7191,12/1/2020 0:56:38.3,8,2
7191,12/1/2020 0:56:43.1,9,2
7191,12/1/2020 0:56:44.6,11,2
7191,12/1/2020 0:57:26.2,1,2
7191,12/1/2020 0:57:45.2,8,2
7191,12/1/2020 0:57:50.0,9,2
7191,12/1/2020 0:57:51.5,11,2
7191,12/1/2020 0:58:33.1,1,2
7191,12/1/2020 0:58:52.1,8,2
7191,12/1/2020 0:58:56.9,9,2
7191,12/1/2020 0:58:58.4,11,2
7191,12/1/2020 0:59:40.0,1,2
7191,12/1/2020 0:59:59.0,8,2
7191,12/1/2020 1:00:03.8,9,2
7191,12/1/2020 1:00:05.3,11,2
7191,12/1/2020 2:05:03.9,1,2
7191,12/1/2020 2:05:22.9,8,2
7191,12/1/2020 2:05:27.7,9,2
7191,12/1/2020 2:05:29.2,11,2
7191,12/1/2020 2:06:10.8,1,2
7191,12/1/2020 2:06:29.8,8,2
7191,12/1/2020 2:06:34.6,9,2
7191,12/1/2020 2:06:36.1,11,2
7191,12/1/2020 2:07:30.1,1,2
7191,12/1/2020 2:07:49.1,8,2
7191,12/1/2020 2:07:53.9,9,2
7191,12/1/2020 2:07:55.4,11,2
7191,12/1/2020 2:08:37.0,1,2
7191,12/1/2020 2:09:04.3,8,2
7191,12/1/2020 2:09:09.1,9,2
7191,12/1/2020 2:09:10.6,11,2
7191,12/1/2020 1:00:59.2,1,2
7191,12/1/2020 1:01:18.2,8,2
7191,12/1/2020 1:01:23.0,9,2
7191,12/1/2020 1:01:24.5,11,2
7191,12/1/2020 1:02:06.1,1,2
7191,12/1/2020 1:02:25.1,8,2
7191,12/1/2020 1:02:29.9,9,2
7191,12/1/2020 1:02:31.4,11,2
7191,12/1/2020 1:03:24.8,1,2
7191,12/1/2020 1:03:43.8,8,2
7191,12/1/2020 1:03:48.6,9,2
7191,12/1/2020 1:03:50.1,11,2
7191,12/1/2020 1:04:31.7,1,2
7191,12/1/2020 1:04:50.7,8,2
7191,12/1/2020 1:04:55.5,9,2
7191,12/1/2020 1:04:57.0,11,2
7191,12/1/2020 1:05:38.6,1,2
7191,12/1/2020 1:05:57.6,8,2
7191,12/1/2020 1:06:02.4,9,2
7191,12/1/2020 1:06:03.9,11,2
7191,12/1/2020 1:06:57.3,1,2
7191,12/1/2020 1:07:16.3,8,2
7191,12/1/2020 1:07:21.1,9,2
7191,12/1/2020 1:07:22.6,11,2
7191,12/1/2020 1:08:16.6,1,2
7191,12/1/2020 1:08:35.6,8,2
7191,12/1/2020 1:08:40.4,9,2
7191,12/1/2020 1:08:41.9,11,2
7191,12/1/2020 1:09:23.5,1,2
7191,12/1/2020 1:09:42.5,8,2
7191,12/1/2020 1:09:47.3,9,2
7191,12/1/2020 1:09:48.8,11,2
7191,12/1/2020 1:10:44.2,1,2
7191,12/1/2020 1:11:03.2,8,2
7191,12/1/2020 1:11:08.0,9,2
7191,12/1/2020 1:11:09.5,11,2
7191,12/1/2020 1:11:51.1,1,2
7191,12/1/2020 1:12:10.1,8,2
7191,12/1/2020 1:12:14.9,9,2
7191,12/1/2020 1:12:16.4,11,2
7191,12/1/2020 1:12:58.0,1,2
7191,12/1/2020 1:13:17.0,8,2
7191,12/1/2020 1:13:21.8,9,2
7191,12/1/2020 1:13:23.3,11,2
7191,12/1/2020 1:14:04.9,1,2
7191,12/1/2020 1:14:23.9,8,2
7191,12/1/2020 1:14:28.7,9,2
7191,12/1/2020 1:14:30.2,11,2
7191,12/1/2020 1:15:11.7,1,2
7191,12/1/2020 1:15:30.7,8,2
7191,12/1/2020 1:15:35.5,9,2
7191,12/1/2020 1:15:37.0,11,2
7191,12/1/2020 1:16:18.5,1,2
7191,12/1/2020 1:16:37.5,8,2
7191,12/1/2020 1:16:42.3,9,2
7191,12/1/2020 1:16:43.8,11,2
7191,12/1/2020 1:17:25.4,1,2
7191,12/1/2020 1:17:44.4,8,2
7191,12/1/2020 1:17:49.2,9,2
7191,12/1/2020 1:17:50.7,11,2
7191,12/1/2020 1:18:32.3,1,2
7191,12/1/2020 1:18:51.3,8,2
7191,12/1/2020 1:18:56.1,9,2
7191,12/1/2020 1:18:57.6,11,2
7191,12/1/2020 1:19:39.2,1,2
7191,12/1/2020 1:19:58.2,8,2
7191,12/1/2020 1:20:03.0,9,2
7191,12/1/2020 1:20:04.5,11,2
7191,12/1/2020 1:20:46.1,1,2
7191,12/1/2020 1:21:05.1,8,2
7191,12/1/2020 1:21:09.9,9,2
7191,12/1/2020 1:21:11.4,11,2
7191,12/1/2020 1:21:53.0,1,2
7191,12/1/2020 1:22:12.0,8,2
7191,12/1/2020 1:22:16.8,9,2
7191,12/1/2020 1:22:18.3,11,2
7191,12/1/2020 1:22:59.9,1,2
7191,12/1/2020 1:23:18.9,8,2
7191,12/1/2020 1:23:23.7,9,2
7191,12/1/2020 1:23:25.2,11,2
7191,12/1/2020 1:24:06.8,1,2
7191,12/1/2020 1:24:25.8,8,2
7191,12/1/2020 1:24:30.6,9,2
7191,12/1/2020 1:24:32.1,11,2
7191,12/1/2020 1:25:13.7,1,2
7191,12/1/2020 1:25:32.7,8,2
7191,12/1/2020 1:25:37.5,9,2
7191,12/1/2020 1:25:39.0,11,2
7191,12/1/2020 1:26:20.6,1,2
7191,12/1/2020 1:26:39.6,8,2
7191,12/1/2020 1:26:44.4,9,2
7191,12/1/2020 1:26:45.9,11,2
7191,12/1/2020 1:27:27.5,1,2
7191,12/1/2020 1:27:46.5,8,2
7191,12/1/2020 1:27:51.3,9,2
7191,12/1/2020 1:27:52.8,11,2
7191,12/1/2020 1:28:34.4,1,2
7191,12/1/2020 1:28:53.4,8,2
7191,12/1/2020 1:28:58.2,9,2
7191,12/1/2020 1:28:59.7,11,2
7191,12/1/2020 1:29:41.3,1,2
7191,12/1/2020 1:30:00.3,8,2
7191,12/1/2020 1:30:05.1,9,2
7191,12/1/2020 1:30:06.6,11,2
7191,12/1/2020 1:30:48.2,1,2
7191,12/1/2020 1:31:07.2,8,2
7191,12/1/2020 1:31:12.0,9,2
7191,12/1/2020 1:31:13.5,11,2
7191,12/1/2020 1:31:55.1,1,2
7191,12/1/2020 1:32:14.1,8,2
7191,12/1/2020 1:32:18.9,9,2
7191,12/1/2020 1:32:20.4,11,2
7191,12/1/2020 1:33:02.0,1,2
7191,12/1/2020 1:33:21.0,8,2
7191,12/1/2020 1:33:25.8,9,2
7191,12/1/2020 1:33:27.3,11,2
7191,12/1/2020 1:34:08.9,1,2
7191,12/1/2020 1:34:27.9,8,2
7191,12/1/2020 1:34:32.7,9,2
7191,12/1/2020 1:34:34.2,11,2
7191,12/1/2020 1:35:15.8,1,2
7191,12/1/2020 1:35:34.8,8,2
7191,12/1/2020 1:35:39.6,9,2
7191,12/1/2020 1:35:41.1,11,2
7191,12/1/2020 1:36:37.8,1,2
7191,12/1/2020 1:36:56.8,8,2
7191,12/1/2020 1:37:01.6,9,2
7191,12/1/2020 1:37:03.1,11,2
7191,12/1/2020 1:37:44.7,1,2
7191,12/1/2020 1:38:03.7,8,2
7191,12/1/2020 1:38:08.5,9,2
7191,12/1/2020 1:38:10.0,11,2
7191,12/1/2020 1:38:51.6,1,2
7191,12/1/2020 1:39:10.6,8,2
7191,12/1/2020 1:39:15.4,9,2
7191,12/1/2020 1:39:16.9,11,2
7191,12/1/2020 1:39:58.5,1,2
7191,12/1/2020 1:40:17.5,8,2
7191,12/1/2020 1:40:22.3,9,2
7191,12/1/2020 1:40:23.8,11,2
7191,12/1/2020 1:41:05.4,1,2
7191,12/1/2020 1:41:24.4,8,2
7191,12/1/2020 1:41:29.2,9,2
7191,12/1/2020 1:41:30.7,11,2
7191,12/1/2020 1:42:12.3,1,2
7191,12/1/2020 1:42:31.3,8,2
7191,12/1/2020 1:42:36.1,9,2
7191,12/1/2020 1:42:37.6,11,2
7191,12/1/2020 1:43:19.2,1,2
7191,12/1/2020 1:43:38.2,8,2
7191,12/1/2020 1:43:43.0,9,2
7191,12/1/2020 1:43:44.5,11,2
7191,12/1/2020 1:44:26.1,1,2
7191,12/1/2020 1:44:45.1,8,2
7191,12/1/2020 1:44:49.9,9,2
7191,12/1/2020 1:44:51.4,11,2
7191,12/1/2020 1:45:33.0,1,2
7191,12/1/2020 1:45:52.0,8,2
7191,12/1/2020 1:45:56.8,9,2
7191,12/1/2020 1:45:58.3,11,2
7191,12/1/2020 1:46:39.9,1,2
7191,12/1/2020 1:46:58.9,8,2
7191,12/1/2020 1:47:03.7,9,2
7191,12/1/2020 1:47:05.2,11,2
7191,12/1/2020 1:47:46.8,1,2
7191,12/1/2020 1:48:05.8,8,2
7191,12/1/2020 1:48:10.6,9,2
7191,12/1/2020 1:48:12.1,11,2
7191,12/1/2020 1:48:53.7,1,2
7191,12/1/2020 1:49:12.7,8,2
7191,12/1/2020 1:49:17.5,9,2
7191,12/1/2020 1:49:19.0,11,2
7191,12/1/2020 1:50:00.6,1,2
7191,12/1/2020 1:50:19.6,8,2
7191,12/1/2020 1:50:24.4,9,2
7191,12/1/2020 1:50:25.9,11,2
7191,12/1/2020 1:51:07.5,1,2
7191,12/1/2020 1:51:26.5,8,2
7191,12/1/2020 1:51:31.3,9,2
7191,12/1/2020 1:51:32.8,11,2
7191,12/1/2020 1:52:14.4,1,2
7191,12/1/2020 1:52:33.4,8,2
7191,12/1/2020 1:52:38.2,9,2
7191,12/1/2020 1:52:39.7,11,2
7191,12/1/2020 1:53:21.3,1,2
7191,12/1/2020 1:53:40.3,8,2
7191,12/1/2020 1:53:45.1,9,2
7191,12/1/2020 1:53:46.6,11,2
7191,12/1/2020 1:54:28.2,1,2
7191,12/1/2020 1:54:47.2,8,2
7191,12/1/2020 1:54:52.0,9,2
7191,12/1/2020 1:54:53.5,11,2
7191,12/1/2020 1:55:35.1,1,2
7191,12/1/2020 1:55:54.1,8,2
7191,12/1/2020 1:55:58.9,9,2
7191,12/1/2020 1:56:00.4,11,2
7191,12/1/2020 1:56:42.0,1,2
7191,12/1/2020 1:57:01.0,8,2
7191,12/1/2020 1:57:05.8,9,2
7191,12/1/2020 1:57:07.3,11,2
7191,12/1/2020 1:57:48.9,1,2
7191,12/1/2020 1:58:07.9,8,2
7191,12/1/2020 1:58:12.7,9,2
7191,12/1/2020 1:58:14.2,11,2
7191,12/1/2020 1:58:55.8,1,2
7191,12/1/2020 1:59:14.8,8,2
7191,12/1/2020 1:59:19.6,9,2
7191,12/1/2020 1:59:21.1,11,2
7191,12/1/2020 2:00:02.7,1,2
7191,12/1/2020 2:00:21.7,8,2
7191,12/1/2020 2:00:26.5,9,2
7191,12/1/2020 2:00:28.0,11,2
7191,12/1/2020 2:01:09.6,1,2
7191,12/1/2020 2:01:49.6,8,2
7191,12/1/2020 2:01:54.4,9,2
7191,12/1/2020 2:01:55.9,11,2
7191,12/1/2020 2:02:50.1,1,2
7191,12/1/2020 2:03:09.1,8,2
7191,12/1/2020 2:03:13.9,9,2
7191,12/1/2020 2:03:15.4,11,2
7191,12/1/2020 2:03:57.0,1,2
7191,12/1/2020 2:04:16.0,8,2
7191,12/1/2020 2:04:20.8,9,2
7191,12/1/2020 2:04:22.3,11,2
7191,12/1/2020 2:10:06.7,1,2
7191,12/1/2020 2:10:25.7,8,2
7191,12/1/2020 2:10:30.5,9,2
7191,12/1/2020 2:10:32.0,11,2
7191,12/1/2020 2:11:28.1,1,2
7191,12/1/2020 2:11:47.1,8,2
7191,12/1/2020 2:11:51.9,9,2
7191,12/1/2020 2:11:53.4,11,2
7191,12/1/2020 2:12:35.0,1,2
7191,12/1/2020 2:12:54.0,8,2
7191,12/1/2020 2:12:58.8,9,2
7191,12/1/2020 2:13:00.3,11,2
7191,12/1/2020 2:13:41.9,1,2
7191,12/1/2020 2:14:00.9,8,2
7191,12/1/2020 2:14:05.7,9,2
7191,12/1/2020 2:14:07.2,11,2
7191,12/1/2020 2:14:48.8,1,2
7191,12/1/2020 2:15:07.8,8,2
7191,12/1/2020 2:15:12.6,9,2
7191,12/1/2020 3:19:34.2,8,2
7191,12/1/2020 3:19:39.0,9,2
7191,12/1/2020 3:19:40.5,11,2
7191,12/1/2020 3:20:22.1,1,2
7191,12/1/2020 3:20:41.1,8,2
7191,12/1/2020 3:20:45.9,9,2
7191,12/1/2020 3:20:47.4,11,2
7191,12/1/2020 3:21:29.0,1,2
7191,12/1/2020 3:21:48.0,8,2
7191,12/1/2020 3:21:52.8,9,2
7191,12/1/2020 3:21:54.3,11,2
7191,12/1/2020 3:22:35.9,1,2
7191,12/1/2020 3:22:54.9,8,2
7191,12/1/2020 3:22:59.7,9,2
7191,12/1/2020 3:23:01.2,11,2
7191,12/1/2020 3:23:42.8,1,2
7191,12/1/2020 3:24:01.8,8,2
7191,12/1/2020 3:24:06.6,9,2
7191,12/1/2020 3:24:08.1,11,2
7191,12/1/2020 3:24:49.7,1,2
7191,12/1/2020 3:25:08.7,8,2
7191,12/1/2020 3:25:13.5,9,2
7191,12/1/2020 3:25:15.0,11,2
7191,12/1/2020 3:25:56.6,1,2
7191,12/1/2020 3:26:15.6,8,2
7191,12/1/2020 3:26:20.4,9,2
7191,12/1/2020 3:26:21.9,11,2
7191,12/1/2020 3:27:03.5,1,2
7191,12/1/2020 3:27:22.5,8,2
7191,12/1/2020 3:27:27.3,9,2
7191,12/1/2020 3:27:28.8,11,2
7191,12/1/2020 3:28:10.4,1,2
7191,12/1/2020 3:28:29.4,8,2
7191,12/1/2020 3:28:34.2,9,2
7191,12/1/2020 3:28:35.7,11,2
7191,12/1/2020 3:29:17.3,1,2
7191,12/1/2020 3:29:36.3,8,2
7191,12/1/2020 3:29:41.1,9,2
7191,12/1/2020 3:29:42.6,11,2
7191,12/1/2020 2:15:14.1,11,2
7191,12/1/2020 2:15:55.7,1,2
7191,12/1/2020 2:16:14.7,8,2
7191,12/1/2020 2:16:19.5,9,2
7191,12/1/2020 2:16:21.0,11,2
7191,12/1/2020 2:17:02.6,1,2
7191,12/1/2020 2:17:21.6,8,2
7191,12/1/2020 2:17:26.4,9,2
7191,12/1/2020 2:17:27.9,11,2
7191,12/1/2020 2:18:09.5,1,2
7191,12/1/2020 2:18:28.5,8,2
7191,12/1/2020 2:18:33.3,9,2
7191,12/1/2020 2:18:34.8,11,2
