DetectorId,Mph,Kph,TimeStamp
500008,49,79,6/14/2023 0:37:04.2
500008,49,79,6/14/2023 0:37:26.6
500006,39,63,6/14/2023 0:37:26.7
500008,37,60,6/14/2023 0:37:37.7
500006,45,72,6/14/2023 0:37:54.0
500006,43,69,6/14/2023 0:38:19.9
500008,41,66,6/14/2023 0:38:55.4
500006,44,71,6/14/2023 0:38:58.6
500006,42,68,6/14/2023 0:39:10.2
500006,42,68,6/14/2023 0:39:16.8
500006,41,66,6/14/2023 0:39:19.4
500008,25,40,6/14/2023 0:39:45.3
500008,52,84,6/14/2023 0:39:51.9
500008,48,77,6/14/2023 0:39:53.6
500006,44,71,6/14/2023 0:41:04.6
500008,40,64,6/14/2023 0:41:12.7
500006,41,66,6/14/2023 0:41:19.4
500008,23,37,6/14/2023 0:41:20.4
500006,55,89,6/14/2023 0:41:29.2
500006,44,71,6/14/2023 0:41:53.1
500006,37,60,6/14/2023 0:42:21.6
500008,40,64,6/14/2023 0:42:51.3
500006,54,87,6/14/2023 0:42:51.9
500008,41,66,6/14/2023 0:43:05.6
500006,39,63,6/14/2023 0:43:13.5
500008,37,60,6/14/2023 0:43:34.8
500006,41,66,6/14/2023 0:44:14.6
500006,40,64,6/14/2023 0:44:36.7
500006,43,69,6/14/2023 0:44:41.0
500008,40,64,6/14/2023 0:45:10.5
500006,46,74,6/14/2023 0:45:12.2
500008,47,76,6/14/2023 0:45:29.1
500008,45,72,6/14/2023 0:45:42.5
500006,33,53,6/14/2023 0:45:55.2
500008,31,50,6/14/2023 0:46:11.2
500006,35,56,6/14/2023 0:46:18.6
500008,41,66,6/14/2023 0:47:11.7
500008,38,61,6/14/2023 0:47:23.3
500008,55,89,6/14/2023 0:47:24.0
500008,5,8,6/14/2023 0:47:24.6
500008,22,35,6/14/2023 0:47:26.6
500008,37,60,6/14/2023 0:47:32.0
500006,43,69,6/14/2023 0:48:38.4
500006,34,55,6/14/2023 0:49:01.8
500006,42,68,6/14/2023 0:49:17.4
500006,40,64,6/14/2023 0:49:27.3
500006,42,68,6/14/2023 0:50:42.8
500008,40,64,6/14/2023 0:50:54.2
500008,42,68,6/14/2023 0:51:43.5
500006,48,77,6/14/2023 0:51:52.6
500006,39,63,6/14/2023 0:51:56.0
500008,40,64,6/14/2023 0:52:10.0
500006,39,63,6/14/2023 0:52:22.3
500006,45,72,6/14/2023 0:52:43.6
500008,44,71,6/14/2023 0:53:03.8
500008,36,58,6/14/2023 0:53:08.7
500006,48,77,6/14/2023 0:53:14.3
500008,35,56,6/14/2023 0:53:23.2
500006,40,64,6/14/2023 0:53:31.0
500006,42,68,6/14/2023 0:53:31.5
500008,39,63,6/14/2023 0:53:36.8
500008,48,77,6/14/2023 0:53:48.0
500008,44,71,6/14/2023 0:54:14.7
500008,43,69,6/14/2023 0:54:32.0
500008,48,77,6/14/2023 0:54:40.6
500006,49,79,6/14/2023 0:54:49.2
500008,39,63,6/14/2023 0:55:08.6
500006,55,89,6/14/2023 0:55:25.7
500008,49,79,6/14/2023 0:55:31.2
500006,33,53,6/14/2023 0:55:32.0
500006,42,68,6/14/2023 0:55:33.2
500008,46,74,6/14/2023 0:55:33.9
500006,58,93,6/14/2023 0:56:06.6
500006,47,76,6/14/2023 0:56:08.4
500006,55,89,6/14/2023 0:56:09.0
